project;file;cyclomatic;cyclomatic density;sLOC logical;Manutenability;Halstead bugs;Hastead difficulty;Halstead effort;Halstead volume;Halstead vocabulary
amazeui-react;src/Accordion.js;9;17.308;52;78.313;0.916;18.6;51132.13;2749.039;102
dev-extreme;js/ui/accordion.js;41;17.012;241;73.58;4.259;44.956;574353.963;12776.04;304
jui-ui;src/components/accordion.js;11;18.966;58;70.093;0.675;31.167;63091.572;2024.329;76
lucid;src/components/Accordion/Accordion.reducers.spec.js;1;14.286;7;78.925;0.067;7.7;1556.316;202.119;26
lucid;src/components/Accordion/Accordion.spec.jsx;3;5;60;78.422;1.078;16.38;52952.688;3232.765;113
mumuy-widget;code/jquery.accordion.js;18;25;72;67.291;0.9;32.096;86665.665;2700.211;95
geeky-native-base;src/basic/Accordion.js;22;24.176;91;67.227;1.223;43.966;161316.706;3669.164;112
wijmo;wijmo/jquery.wijmo.wijaccordion.js;93;23.969;388;56.541;6.772;74.955;1522786.671;20315.906;302
wijmo;wijmo/minified/jquery.wijmo.wijaccordion.min.js;92;24.798;371;57.037;6.634;83.182;1655457.5;19901.675;275
jquery-ui;ui/widgets/accordion.js;84;24.348;345;60.392;6.101;67.595;1237126.825;18301.928;272
