project;file;cyclomatic;cyclomatic density;sLOC logical;Manutenability;Halstead bugs;Hastead difficulty;Halstead effort;Halstead volume;Halstead vocabulary
box-ui;src/components/modal/ModalDialog.js;7;15.909;44;64.249;0.67;27.329;54935.949;2010.151;109
box-ui;src/components/modal/__tests__/ModalDialog.stories.test.js;1;20;5;84.043;0.038;3.818;436.987;114.449;17
box-ui;src/components/modal/__tests__/ModalDialog.test.js;1;2.326;43;74.22;0.648;13.629;26513.172;1945.411;82
box-ui;src/components/modal/stories/ModalDialog.stories.js;1;20;5;100;0.067;6.967;1408.095;202.119;26
react-ui;packages/react-ui/src/components/dialog/dialog.styles.js;1;7.143;14;62.108;0.071;2.976;629.523;211.52;26
react-ui;packages/react-ui/src/components/dialog/index.js;1;20;5;73.975;0.12;12.9;4644;360;32
weaveworks;src/components/Dialog/Dialog.js;8;19.048;42;87.289;0.86;22.245;57413.885;2580.991;118
weaveworks;src/components/Dialog/Dialog.test.js;1;1.695;59;71.147;0.822;17.642;43483.103;2464.778;79
weaveworks;src/components/Dialog/example.js;2;11.765;17;77.151;0.415;19.202;23909.437;1245.145;66
weaveworks;src/components/Dialog/index.js;1;0;0;100;0.003;1;8;8;4
uikit;lib/components/dialog/dialog.js;19;18.095;105;70.9;1.218;39.699;145084.765;3654.654;96
mineral-ui;src/library/Dialog/Dialog.js;54;30.857;175;68.363;2.86;42;360317.004;8578.976;240
mineral-ui;src/library/Dialog/DialogActions.js;7;38.889;18;64.41;0.301;27.045;24436.037;903.517;54
mineral-ui;src/library/Dialog/DialogBody.js;1;10;10;65.332;0.148;11.31;5031.295;444.84;45
mineral-ui;src/library/Dialog/DialogFooter.js;1;33.333;3;100;0.066;7.857;1549.062;197.153;24
mineral-ui;src/library/Dialog/DialogHeader.js;3;27.273;11;64.523;0.168;18.063;9096.454;503.61;41
mineral-ui;src/library/Dialog/DialogRow.js;1;33.333;3;96.882;0.044;6.818;898.429;131.77;21
mineral-ui;src/library/Dialog/DialogTitle.js;4;15.385;26;69.105;0.372;19.8;22087.484;1115.53;70
mineral-ui;src/library/Dialog/ModifiersContext.js;1;100;1;87.159;0.028;7.333;614.253;83.762;14
mineral-ui;src/library/Dialog/constants.js;1;4.762;21;56.918;0.134;3.065;1235.779;403.254;36
mineral-ui;src/library/Dialog/index.js;1;0;0;100;0.052;2.923;454.023;155.324;17
mineral-ui;src/library/Dialog/propTypes.js;1;2.439;41;45.017;0.469;14.19;19945.248;1405.585;61
mineral-ui;src/library/Dialog/styled.js;9;5.696;158;64.844;2.262;24.168;164012.884;6786.483;201
mineral-ui;src/library/Dialog/themes.js;1;2.632;38;69.533;0.527;9.308;14706.889;1580.079;89
mineral-ui;src/library/Dialog/types.js;1;0;0;100;0.631;4.055;7674.081;1892.711;114
mineral-ui;src/library/Dialog/__tests__/Dialog.spec.js;6;5.405;111;70.976;1.477;27.764;122990.276;4429.823;124
mineral-ui;src/library/Dialog/__tests__/Dialog.ssr.spec.js;1;25;4;86.666;0.098;7.816;2301.073;294.413;30
mineral-ui;src/library/Dialog/__tests__/Dialog.theme.spec.js;2;6.667;30;83.995;0.41;15.566;19141.051;1229.667;68
mineral-ui;src/library/Dialog/__tests__/DialogActions.spec.js;1;11.111;9;84.04;0.127;7.615;2896.055;380.29;37
mineral-ui;src/library/Dialog/__tests__/DialogBody.spec.js;1;12.5;8;84.04;0.115;7.26;2514.755;346.385;36
mineral-ui;src/library/Dialog/__tests__/DialogFooter.spec.js;1;12.5;8;84.066;0.104;7.5;2345.643;312.752;33
