project;file;cyclomatic;cyclomatic density;sLOC logical;Manutenability;Halstead bugs;Hastead difficulty;Halstead effort;Halstead volume;Halstead vocabulary
shoutem-ui;components/DropDownMenu/DropDownMenu.js;6;15.385;39;70.536;0.652;26.287;51396.105;1955.208;93
shoutem-ui;components/DropDownMenu/DropDownModal.js;14;11.024;127;67.293;2.113;43.057;272991.832;6340.27;159
shoutem-ui;components/DropDownMenu/index.js;1;0;0;100;0.009;1.5;38.774;25.85;6
cuke-ui;components/dropdown/index.js;1;2.941;34;79.013;0.371;16.176;17990.961;1112.169;66
cuke-ui;components/dropdown/style.js;1;0;0;100;0.007;1;20.897;20.897;5
cuke-ui;components/dropdown/__tests__/index.test.js;1;9.091;11;82.043;0.185;10;5549.672;554.967;39
amazeui-react;src/Dropdown.js;21;18.261;115;73.352;2.104;27.296;172288.73;6311.919;161
box-ui;src/components/dropdown-menu/DropdownMenu.js;28;23.14;121;60.354;1.61;47.304;228526.365;4830.98;147
box-ui;src/components/dropdown-menu/DropdownMenu.stories.js;1;8.333;12;96.589;0.273;9.952;8149.849;818.922;67
box-ui;src/components/dropdown-menu/MenuToggle.js;1;50;2;94.655;0.049;7.5;1103.709;147.161;22
box-ui;src/components/dropdown-menu/index.js;1;0;0;100;0.01;2.25;69.482;30.881;7
box-ui;src/components/pill-selector-dropdown/Pill.js;3;23.077;13;61.048;0.141;13.481;5705.991;423.247;41
box-ui;src/components/pill-selector-dropdown/PillSelector.js;24;21.429;112;65.168;1.818;57.602;314188.61;5454.448;169
box-ui;src/components/pill-selector-dropdown/PillSelectorDropdown.js;14;11.864;118;66.538;1.623;50.564;246121.337;4867.511;146
box-ui;src/components/pill-selector-dropdown/PillSelectorDropdown.stories.js;7;5.344;131;69.468;1.705;70.962;363057.332;5116.255;105
box-ui;src/components/pill-selector-dropdown/PillSelectorDropdownField.js;4;4.938;81;65.734;1.092;45.181;148017.49;3276.12;108
box-ui;src/components/pill-selector-dropdown/RoundPill.js;8;28.571;28;59.23;0.337;18.833;19031.438;1010.519;68
box-ui;src/components/pill-selector-dropdown/SuggestedPill.js;2;11.111;18;72.141;0.2;14.779;8879.086;600.774;49
box-ui;src/components/pill-selector-dropdown/SuggestedPillsRow.js;2;20;10;77.008;0.201;16.25;9801.609;603.176;48
box-ui;src/components/pill-selector-dropdown/defaultDropdownRenderer.js;1;25;4;88.258;0.063;10.615;2021.149;190.398;25
box-ui;src/components/pill-selector-dropdown/defaultInputParser.js;3;17.647;17;78.138;0.296;20.368;18097.857;888.525;56
box-ui;src/components/pill-selector-dropdown/flowTypes.js;1;0;0;100;0.1;3.478;1041.941;299.558;27
box-ui;src/components/pill-selector-dropdown/index.js;1;0;0;100;0.027;2.25;179.026;79.567;11
box-ui;src/components/selector-dropdown/index.js;1;0;0;100;0.003;1.5;15;10;4
box-ui;src/components/dropdown-menu/__tests__/DropdownMenu.stories.test.js;1;11.111;9;79.228;0.1;7.111;2139.222;300.828;26
box-ui;src/components/dropdown-menu/__tests__/DropdownMenu.test.js;2;0.702;285;72.292;4.944;41.173;610717.534;14833.043;207
box-ui;src/components/dropdown-menu/__tests__/MenuToggle.test.js;1;25;4;88.534;0.038;3.792;434.882;114.694;19
box-ui;src/components/pill-selector-dropdown/__tests__/Pill.test.js;1;3.226;31;71.898;0.457;12.7;17394.723;1369.663;54
box-ui;src/components/pill-selector-dropdown/__tests__/PillSelector.test.js;1;0.322;311;69.866;4.811;47.966;692294.975;14432.902;163
box-ui;src/components/pill-selector-dropdown/__tests__/PillSelectorDropdown.stories.test.js;1;11.111;9;79.518;0.098;6.2;1818.142;293.249;28
box-ui;src/components/pill-selector-dropdown/__tests__/PillSelectorDropdownField.test.js;1;0.474;211;67.828;2.414;31.625;229011.807;7241.48;103
