project;file;cyclomatic;cyclomatic density;sLOC logical;Manutenability;Halstead bugs;Hastead difficulty;Halstead effort;Halstead volume;Halstead vocabulary
shoutem-ui;components/DropDownMenu/DropDownMenu.js;6;15.385;39;70.536;0.652;26.287;51396.105;1955.208;93
shoutem-ui;components/DropDownMenu/DropDownModal.js;14;11.024;127;67.293;2.113;43.057;272991.832;6340.27;159
shoutem-ui;components/DropDownMenu/index.js;1;0;0;100;0.009;1.5;38.774;25.85;6
dhtmlx-react-widgets;src/menu/Menu.js;2;16.667;12;84.596;0.232;15.471;10773.396;696.341;54
dhtmlx-react-widgets;src/menu/MenuCdn.js;3;17.647;17;82.442;0.301;14.682;13251.358;902.569;63
dhtmlx-react-widgets;src/menu/MenuConfigured.js;2;16.667;12;84.596;0.233;15.042;10522.316;699.545;55
dhtmlx-react-widgets;src/menu/MenuData.js;3;8.333;36;81.341;0.615;22.516;41526.422;1844.338;86
dhtmlx-react-widgets;src/menu/MenuEvents.js;3;7.5;40;77.379;0.678;22.969;46689.886;2032.757;84
dhtmlx-react-widgets;src/menu/MenuPage.js;4;12.5;32;80.301;0.858;26.4;67931.956;2573.18;112
dhtmlx-react-widgets;src/menu/MenuProps.js;2;10;20;81.471;0.294;19.895;17555.045;882.396;59
zendesk-widgets;add-menu-tab.js;1;50;2;93.26;0.02;1.667;101.574;60.944;12
amazeui-react;src/Menu.js;22;30.986;71;76.527;1.526;27.464;125737.629;4578.331;129
box-ui;src/components/dropdown-menu/DropdownMenu.js;28;23.14;121;60.354;1.61;47.304;228526.365;4830.98;147
box-ui;src/components/dropdown-menu/DropdownMenu.stories.js;1;8.333;12;96.589;0.273;9.952;8149.849;818.922;67
box-ui;src/components/dropdown-menu/MenuToggle.js;1;50;2;94.655;0.049;7.5;1103.709;147.161;22
box-ui;src/components/dropdown-menu/index.js;1;0;0;100;0.01;2.25;69.482;30.881;7
box-ui;src/components/media/MediaMenu.js;1;10;10;73.238;0.17;13.759;7017.844;510.069;43
box-ui;src/components/dropdown-menu/__tests__/DropdownMenu.stories.test.js;1;11.111;9;79.228;0.1;7.111;2139.222;300.828;26
box-ui;src/components/dropdown-menu/__tests__/DropdownMenu.test.js;2;0.702;285;72.292;4.944;41.173;610717.534;14833.043;207
box-ui;src/components/dropdown-menu/__tests__/MenuToggle.test.js;1;25;4;88.534;0.038;3.792;434.882;114.694;19
box-ui;src/components/media/__tests__/MediaMenu.test.js;1;10;10;72.909;0.129;6.052;2350.167;388.347;38
box-ui;src/components/media/stories/MediaMenu.stories.js;1;12.5;8;81.366;0.122;7.48;2745.644;367.065;36
react-ui;packages/react-ui/src/components/menu/index.js;1;6.25;16;86.016;0.284;21.241;18096.032;851.924;43
react-ui;packages/react-ui/src/components/menu/menu.styles.js;1;7.143;14;62.04;0.069;3.158;651.547;206.323;24
weaveworks;src/components/Menu/Menu.js;1;25;4;94.241;0.055;6.967;1146.124;164.515;26
weaveworks;src/components/Menu/Menu.test.js;1;11.111;9;80.096;0.169;6.125;3096.697;505.583;40
weaveworks;src/components/Menu/MenuItem.js;6;28.571;21;82.596;0.426;19.509;24911.104;1276.908;75
weaveworks;src/components/Menu/example.js;1;12.5;8;83.476;0.198;14.722;8732.558;593.155;42
weaveworks;src/components/Menu/index.js;1;0;0;100;0.011;1.2;40.426;33.688;7
uikit;lib/components/menu/menu.js;7;9.722;72;75.015;1.065;27.611;88247.644;3196.092;102
mineral-ui;src/library/Card/CardTitleMenu.js;1;7.143;14;66.736;0.193;12.422;7175.834;577.677;47
mineral-ui;src/library/Menu/Menu.js;8;21.053;38;70.503;0.525;37.917;59698.947;1574.478;76
mineral-ui;src/library/Menu/MenuDivider.js;1;33.333;3;100;0.068;7.667;1566.527;204.33;25
