project;file;cyclomatic;cyclomatic density;sLOC logical;Manutenability;Halstead bugs;Hastead difficulty;Halstead effort;Halstead volume;Halstead vocabulary
shoutem-ui;components/DropDownMenu/DropDownModal.js;14;11.024;127;67.293;2.113;43.057;272991.832;6340.27;159
cuke-ui;components/modal/style.js;1;0;0;100;0.01;1;31.02;31.02;6
amazeui-react;src/Modal.js;26;21.667;120;71.541;2.164;34.635;224803.64;6490.571;169
amazeui-react;src/ModalTrigger.js;13;16.883;77;68.208;1.059;28.174;89490.804;3176.371;87
box-ui;src/components/hotkeys/HotkeyFriendlyModal.js;2;40;5;76.384;0.067;11.308;2258.206;199.705;27
box-ui;src/components/hotkeys/HotkeyHelpModal.js;15;23.81;63;76.02;1.232;25.831;95480.389;3696.419;142
box-ui;src/components/modal/Modal.js;21;32.813;64;68.679;0.855;35.422;90834.923;2564.387;113
box-ui;src/components/modal/ModalActions.js;1;50;2;91.256;0.04;8.889;1057.262;118.942;19
box-ui;src/components/modal/ModalDialog.js;7;15.909;44;64.249;0.67;27.329;54935.949;2010.151;109
box-ui;src/components/modal/index.js;1;0;0;100;0.02;1.929;115.318;59.795;10
box-ui;src/components/hotkeys/__tests__/HotkeyFriendlyModal.test.js;1;10;10;78.465;0.13;5.688;2225.982;391.382;31
box-ui;src/components/hotkeys/__tests__/HotkeyHelpModal.test.js;1;1.042;96;70.894;1.484;21.396;95285.601;4453.465;109
box-ui;src/components/modal/__tests__/Modal.stories.test.js;1;12.5;8;80.678;0.09;7.25;1961.218;270.513;24
box-ui;src/components/modal/__tests__/Modal.test.js;1;0.82;122;73.255;1.726;19.009;98426.584;5177.776;116
box-ui;src/components/modal/__tests__/ModalActions.stories.test.js;1;20;5;84.043;0.038;3.818;436.987;114.449;17
box-ui;src/components/modal/__tests__/ModalActions.test.js;1;16.667;6;80.271;0.08;5.056;1220.818;241.481;25
box-ui;src/components/modal/__tests__/ModalDialog.stories.test.js;1;20;5;84.043;0.038;3.818;436.987;114.449;17
box-ui;src/components/modal/__tests__/ModalDialog.test.js;1;2.326;43;74.22;0.648;13.629;26513.172;1945.411;82
box-ui;src/components/modal/stories/Modal.stories.js;2;8.696;23;84.646;0.341;17.846;18261.981;1023.301;55
box-ui;src/components/modal/stories/ModalActions.stories.js;1;20;5;100;0.094;6.5;1836.159;282.486;33
box-ui;src/components/modal/stories/ModalDialog.stories.js;1;20;5;100;0.067;6.967;1408.095;202.119;26
ember-widgets;app/components/modal-component.js;1;0;0;100;0.003;1.5;15;10;4
uiv;src/components/modal/Modal.js;34;22.368;152;67.798;1.947;47.805;279285.525;5842.197;153
pivotal-ui;src/react/modal/index.js;1;0;0;100;0.003;1.5;15;10;4
pivotal-ui;src/react/modal/modal.js;4;8.511;47;56.914;0.552;18.365;30430.301;1656.985;92
jui-ui;src/components/modal.js;23;16.912;136;61.179;2.047;60.701;372691.462;6139.798;137
lucid;src/components/Dialog/examples/5.no-modal.jsx;1;16.667;6;65.414;0.173;12.833;6673.333;520;32
lucid;src/components/Overlay/examples/no-modal.jsx;1;14.286;7;64.75;0.136;11;4479.991;407.272;30
lucid;src/components/SidePanel/examples/01.no-modal.jsx;1;12.5;8;80.949;0.124;13.647;5094.245;373.285;33
keen-ui;src/helpers/modality.js;12;27.273;44;70.507;0.535;14.212;22821.394;1605.77;80
rimble-ui;src/Modal/Modal.test.js;1;11.111;9;85.199;0.094;5.526;1558.567;282.026;26
rimble-ui;src/Modal/index.js;3;12;25;83.903;0.314;16.467;15511.6;942;64
reactstrap-widgets;src/Modal.js;67;26.693;251;63.941;4.473;72.591;974101.558;13418.972;234
reactstrap-widgets;src/ModalBody.js;1;6.667;15;70.051;0.153;13.565;6241.673;460.123;36
reactstrap-widgets;src/ModalFooter.js;1;6.667;15;70.051;0.153;13.565;6241.673;460.123;36
reactstrap-widgets;src/ModalHeader.js;5;14.706;34;55.762;0.383;28;32155.273;1148.403;69
reactstrap-widgets;src/__tests__/ModalBody.spec.js;1;7.143;14;77.426;0.203;10.957;6676.533;609.366;31
reactstrap-widgets;src/__tests__/ModalFooter.spec.js;1;7.143;14;77.426;0.203;10.957;6676.533;609.366;31
reactstrap-widgets;src/__tests__/ModalHeader.spec.js;1;2.941;34;80.143;0.544;11.75;19174.434;1631.867;56
kendo-ui;src/kendo.mobile.modalview.js;16;18.391;87;66.831;1.089;23.465;76686.99;3268.144;119
lobos-react-ui;src/Modal/Container.js;7;16.279;43;66.306;0.626;31.158;58470.768;1876.596;81
lobos-react-ui;src/Modal/Fake.js;5;19.231;26;75.989;0.298;17.526;15674.357;894.333;56
lobos-react-ui;src/Modal/Modal.js;14;18.182;77;69.759;1.077;31.474;101694.908;3231.109;121
lobos-react-ui;src/Modal/index.js;2;4.878;41;72.385;0.42;24.7;31122;1260;64
lobos-react-ui;src/lang/en/modal.js;1;33.333;3;80.929;0.013;2;76.078;38.039;9
lobos-react-ui;src/lang/zh-cn/modal.js;1;33.333;3;80.929;0.013;2;76.078;38.039;9
