project;file;cyclomatic;cyclomatic density;sLOC logical;Manutenability;Halstead bugs;Hastead difficulty;Halstead effort;Halstead volume;Halstead vocabulary
shoutem-ui;components/ImageGalleryOverlay.js;14;24.561;57;68.405;0.865;27.649;71733.734;2594.475;96
shoutem-ui;components/Overlay.js;1;50;2;79.602;0.048;7;1008;144;16
amazeui-react;src/mixins/OverlayMixin.js;7;18.919;37;78.78;0.387;16.575;19239.35;1160.745;57
box-ui;src/components/flyout/Overlay.js;3;15.789;19;72.914;0.234;20.045;14073.839;702.096;54
box-ui;src/components/hotkeys/HotkeyFriendlyOverlay.js;1;100;1;100;0.051;8.25;1268.282;153.731;21
box-ui;src/components/flyout/__tests__/Overlay.test.js;1;1.852;54;74.425;0.708;13.385;28429.287;2124.027;75
box-ui;src/components/hotkeys/__tests__/HotkeyFriendlyOverlay.test.js;1;11.111;9;80.15;0.112;5.409;1813.131;335.201;29
weaveworks;src/components/PrometheusGraph/_ErrorOverlay.js;4;25;16;86.48;0.262;17.1;13422.978;784.969;58
weaveworks;src/components/PrometheusGraph/_LoadingOverlay.js;2;28.571;7;80.563;0.097;9.643;2791.76;289.516;36
uikit;lib/components/overlay/overlay.js;3;11.538;26;76.893;0.254;12.571;9568.088;761.098;39
pivotal-ui;src/react/overlay-trigger/index.js;1;0;0;100;0.003;1.5;15;10;4
pivotal-ui;src/react/overlay-trigger/overlay_trigger.js;24;18.605;129;66.916;1.78;41.746;222983.476;5341.437;153
cmui;src/js/overlay-dialog.js;45;22.277;202;63.3;3.405;43.57;445107.491;10215.905;236
cmui;src/js/overlay-loading.js;10;12.195;82;66.818;1.069;27.237;87345.195;3206.877;96
cmui;src/js/overlay-mask.js;8;11.765;68;69.764;0.629;20.25;38218.474;1887.332;75
node_modules/es6-plato;lib/assets/scripts/vendor/codemirror/util/overlay.js;10;21.277;47;66.883;0.514;34.017;52421.697;1541.059;43
dev-extreme;js/ui/overlay.js;1;0;0;100;0.006;3;54.284;18.095;6
dev-extreme;js/ui/overlay/utils.js;2;18.182;11;62.406;0.177;17.091;9058.877;530.041;38
dev-extreme;js/ui/overlay/z_index.js;3;18.75;16;79.335;0.168;18.7;9449.427;505.317;37
lucid;src/components/Overlay/Overlay.spec.jsx;1;1.587;63;77.54;0.955;17.023;48757.488;2864.169;98
lucid;src/components/OverlayWrapper/OverlayWrapper.spec.jsx;1;1.429;70;84.379;0.824;20.784;51402.049;2473.117;61
lucid;src/components/LoadingIndicator/examples/5.no-overlay.jsx;1;11.111;9;63.942;0.092;7.368;2040.352;276.905;29
lucid;src/components/LoadingIndicator/examples/6.light-overlay.jsx;1;11.111;9;63.942;0.092;7.368;2040.352;276.905;29
lucid;src/components/Overlay/examples/basic.jsx;1;16.667;6;66.292;0.127;11.324;4300.462;379.781;28
lucid;src/components/Overlay/examples/no-modal.jsx;1;14.286;7;64.75;0.136;11;4479.991;407.272;30
lucid;src/components/OverlayWrapper/examples/1.default.jsx;1;11.111;9;63.983;0.087;7.647;1999.85;261.519;27
reactstrap-widgets;src/CardImgOverlay.js;1;6.667;15;70.051;0.153;13.565;6241.673;460.123;36
reactstrap-widgets;src/__tests__/CardImgOverlay.spec.js;1;7.143;14;77.378;0.212;10.4;6610.174;635.594;33
lobos-react-ui;src/Overlay.js;1;14.286;7;82.608;0.09;9.667;2608.83;269.879;30
