project;file;cyclomatic;cyclomatic density;sLOC logical;Manutenability;Halstead bugs;Hastead difficulty;Halstead effort;Halstead volume;Halstead vocabulary
cuke-ui;components/popover/style.js;1;0;0;100;0.007;1;20.897;20.897;5
cuke-ui;components/popover/__tests__/index.test.js;1;3.03;33;77.279;0.54;13.889;22500;1620;64
amazeui-react;src/Popover.js;1;3.448;29;69.071;0.441;9.508;12588.508;1323.925;70
amazeui-react;src/PopoverTrigger.js;23;17.037;135;67.932;2.18;46.385;303307.683;6538.972;144
ember-widgets;app/components/popover-component.js;1;0;0;100;0.003;1.5;15;10;4
ember-widgets;app/components/popover-link-component.js;1;0;0;100;0.003;1.5;15;10;4
ember-widgets;app/components/render-popover.js;1;0;0;100;0.003;1.5;15;10;4
uiv;src/components/popover/Popover.js;4;13.793;29;49.136;0.317;12.564;11946.386;950.835;53
mineral-ui;src/library/Popover/Popover.js;50;32.895;152;68.449;2.557;50.3;385884.376;7671.658;180
mineral-ui;src/library/Popover/RtlPopper.js;4;26.667;15;67.454;0.197;19.875;11717.198;589.545;49
mineral-ui;src/library/Popover/constants.js;1;25;4;84.346;0.051;8.25;1268.282;153.731;21
mineral-ui;src/library/Popover/index.js;1;0;0;100;0.032;2.889;277.944;96.211;13
mineral-ui;src/library/Popover/propTypes.js;1;5.263;19;54.526;0.199;11;6565.78;596.889;43
mineral-ui;src/library/Popover/styled.js;11;11.702;94;58.125;1.141;23.83;81577.406;3423.245;136
mineral-ui;src/library/Popover/themes.js;1;6.667;15;75.355;0.198;10.633;6323.519;594.688;41
mineral-ui;src/library/Popover/types.js;1;0;0;100;0.457;4.228;5794.83;1370.633;83
mineral-ui;src/library/Popover/__tests__/Popover.spec.js;3;2.041;147;75.633;1.926;33.83;195519.461;5779.409;130
mineral-ui;src/library/Popover/__tests__/Popover.ssr.spec.js;1;33.333;3;86.666;0.024;3.75;271.274;72.34;14
mineral-ui;src/library/Popover/__tests__/Popover.theme.spec.js;1;33.333;3;96.256;0.046;3.75;521.152;138.974;17
node_modules/es6-plato;lib/assets/scripts/codemirror.markpopovertext.js;10;18.519;54;65.3;0.705;24.849;52538.579;2114.28;108
node_modules/es6-plato;lib/assets/scripts/vendor/bootstrap-popover.js;13;25.49;51;70.641;0.857;28.154;72360.052;2570.166;85
dev-extreme;js/ui/popover.js;68;20.178;337;67.689;5.993;59.294;1066074.852;17979.437;323
frame;views/popover.js;16;23.529;68;53.032;1.083;42.594;138375.529;3248.728;109
circuit-ui;src/components/Popover/Popover.js;14;17.722;79;79.859;1.178;28.953;102348.255;3535;128
circuit-ui;src/components/Popover/Popover.spec.js;1;2.273;44;85.139;0.492;12.578;18578.765;1477.07;78
circuit-ui;src/components/Popover/Popover.stories.js;3;23.077;13;92.093;0.17;15.333;7831.383;510.742;45
circuit-ui;src/components/Popover/PopoverService.js;2;25;8;90.303;0.055;7.5;1237.492;164.999;22
circuit-ui;src/components/Popover/index.js;1;0;0;100;0.006;3;54.284;18.095;6
xy-ui;components/xy-popover.js;93;52.841;176;73.954;3.46;68.858;714765.712;10380.245;157
mercadolibre-chico;src/ui/scripts/Popover.js;4;23.529;17;81.846;0.254;13.103;9973.007;761.098;39
reactstrap-widgets;src/Popover.js;1;10;10;77.708;0.118;9.913;3508.43;353.921;35
reactstrap-widgets;src/PopoverBody.js;1;6.667;15;70.051;0.153;13.565;6241.673;460.123;36
reactstrap-widgets;src/PopoverHeader.js;1;6.667;15;70.051;0.153;13.565;6241.673;460.123;36
reactstrap-widgets;src/TooltipPopoverWrapper.js;61;30.964;197;69.649;3.626;65.98;717674.198;10877.192;178
reactstrap-widgets;src/UncontrolledPopover.js;2;18.182;11;80.833;0.192;16.56;9525.048;575.184;43
reactstrap-widgets;src/__tests__/Popover.spec.js;1;11.111;9;74.406;0.132;5.85;2318.97;396.405;39
reactstrap-widgets;src/__tests__/PopoverBody.spec.js;1;20;5;83.508;0.078;5.556;1305.678;235.022;26
reactstrap-widgets;src/__tests__/PopoverHeader.spec.js;1;20;5;83.508;0.078;5.556;1305.678;235.022;26
reactstrap-widgets;src/__tests__/TooltipPopoverWrapper.spec.js;1;0.226;442;65.618;6.691;59.088;1186070.07;20072.863;184
kendo-ui;src/kendo.mobile.popover.js;18;9.574;188;61.988;2.672;42.939;344241.673;8016.92;191
lobos-react-ui;src/Popover.js;1;7.692;13;77.86;0.191;11.691;6695.541;572.7;49
lobos-react-ui;src/Tooltip/FormItemPopover.js;10;16.393;61;43.125;0.449;22.041;29681.746;1346.672;67
lobos-react-ui;src/Tooltip/popover.js;11;22;50;70.366;0.633;28.172;53494.803;1898.836;77
