project;file;cyclomatic;cyclomatic density;sLOC logical;Manutenability;Halstead bugs;Hastead difficulty;Halstead effort;Halstead volume;Halstead vocabulary
dhtmlx-react-widgets;src/tabbar/Tabbar.js;3;11.111;27;75.176;0.367;17.29;19010.95;1099.534;69
dhtmlx-react-widgets;src/tabbar/TabbarCdn.js;5;15.152;33;75.384;0.463;17.229;23932.095;1389.074;78
dhtmlx-react-widgets;src/tabbar/TabbarConfigured.js;3;8.824;34;70.463;0.421;18.648;23547.468;1262.724;73
dhtmlx-react-widgets;src/tabbar/TabbarEvents.js;5;11.364;44;73.759;0.655;21.432;42142.415;1966.377;94
dhtmlx-react-widgets;src/tabbar/TabbarPage.js;4;13.333;30;80.462;0.767;25.274;58153.742;2300.949;106
dhtmlx-react-widgets;src/tabbar/TabbarProps.js;3;7.5;40;70.934;0.463;22;30558.584;1389.027;75
cuke-ui;components/table/index.js;29;21.642;134;70.53;2.194;67.308;442959.878;6581.118;152
cuke-ui;components/table/style.js;1;0;0;100;0.018;1;54;54;8
cuke-ui;components/tabs/TabPane.js;2;18.182;11;64.682;0.092;16;4395.568;274.723;34
cuke-ui;components/tabs/Tabs.js;13;18.31;71;72.375;1.096;43.146;141886.627;3288.497;111
cuke-ui;components/tabs/index.js;1;100;1;88.47;0.018;6;318.905;53.151;10
cuke-ui;components/tabs/style.js;1;0;0;100;0.004;1;12;12;4
cuke-ui;components/turn-table/index.js;1;2.778;36;74.31;0.387;16.691;19360.552;1159.946;72
cuke-ui;components/turn-table/style.js;1;0;0;100;0.004;1;12;12;4
cuke-ui;components/table/__tests__/index.test.js;1;1.176;85;73.275;1.342;22.27;89648.581;4025.482;127
cuke-ui;components/tabs/__tests__/index.test.js;1;2.703;37;74.505;0.708;17.5;37179.179;2124.525;68
cuke-ui;components/turn-table/__tests__/index.test.js;1;9.091;11;85.346;0.199;8.957;5343.336;596.545;46
zendesk-widgets;add-menu-tab.js;1;50;2;93.26;0.02;1.667;101.574;60.944;12
amazeui-react;src/Table.js;2;6.452;31;66.44;0.478;12.21;17524.261;1435.238;61
amazeui-react;src/Tabs.js;18;16.071;112;72.615;1.909;37.977;217454.215;5726;128
box-ui;src/components/badge/BetaBadge.js;1;25;4;77.509;0.092;10.684;2964.245;277.442;33
box-ui;src/components/tab-view/Tab.js;1;100;1;100;0.04;5.885;708.535;120.405;22
box-ui;src/components/tab-view/TabView.js;8;18.605;43;73.956;0.602;33.35;60277.75;1807.429;73
box-ui;src/components/tab-view/TabView.stories.js;1;9.091;11;100;0.265;9.991;7939.219;794.658;67
box-ui;src/components/tab-view/TabViewPrimitive.js;33;24.627;134;69.436;2.29;62.022;426096.741;6870.137;176
box-ui;src/components/tab-view/index.js;1;0;0;100;0.02;1.929;115.318;59.795;10
box-ui;src/components/table/Table.js;1;20;5;75.563;0.074;12.567;2778.972;221.138;28
box-ui;src/components/table/TableBody.js;1;33.333;3;85.245;0.052;10.5;1638.841;156.08;22
box-ui;src/components/table/TableCell.js;1;20;5;75.563;0.074;12.567;2778.972;221.138;28
box-ui;src/components/table/TableHeader.js;1;25;4;80.353;0.068;11;2247.626;204.33;25
box-ui;src/components/table/TableHeaderCell.js;1;20;5;75.563;0.074;12.567;2778.972;221.138;28
box-ui;src/components/table/TableRow.js;1;25;4;79.261;0.067;12;2425.427;202.119;26
box-ui;src/components/table/index.js;1;0;0;100;0.058;2.1;367.787;175.137;18
box-ui;src/components/table/makeSelectable.js;37;19.171;193;66.988;3.052;58.983;539994.016;9155.044;180
