project;file;cyclomatic;cyclomatic density;sLOC logical;Manutenability;Halstead bugs;Hastead difficulty;Halstead effort;Halstead volume;Halstead vocabulary
cuke-ui;components/tooltip/index.js;18;11.043;163;70.282;2.358;42.845;303105.213;7074.448;168
cuke-ui;components/tooltip/style.js;1;0;0;100;0.004;1;12;12;4
cuke-ui;components/tooltip/__tests__/index.test.js;1;0.952;105;76.19;1.613;21.685;104944.95;4839.43;99
box-ui;src/components/guide-tooltip/messages.js;1;20;5;71.735;0.038;5.85;670.96;114.694;19
box-ui;src/components/image-tooltip/getTestImageSrc.js;1;0;0;100;0.006;3;54.284;18.095;6
box-ui;src/components/guide-tooltip/__tests__/GuideTooltip.test.js;1;3.571;28;72.279;0.233;14.3;10009.831;699.988;43
react-ui;packages/react-ui/src/components/tooltip/tooltip.styles.js;2;13.333;15;100;0.104;5.44;1701.373;312.752;33
uiv;src/components/tooltip/Tooltip.js;1;4.167;24;52.49;0.216;9.273;6009.086;648.039;45
weaveworks;src/components/_TimestampTooltip/TimestampTooltip.js;3;8.108;37;82.781;0.588;19.826;34961.814;1763.425;88
weaveworks;src/components/_TimestampTooltip/index.js;1;0;0;100;0.003;1;8;8;4
mineral-ui;src/library/Tooltip/Tooltip.js;10;14.925;67;74.993;1.19;32.94;117635.917;3571.218;127
mineral-ui;src/library/Tooltip/constants.js;1;25;4;84.346;0.051;8.25;1268.282;153.731;21
mineral-ui;src/library/Tooltip/index.js;1;0;0;100;0.007;2;41.359;20.68;6
mineral-ui;src/library/Tooltip/propTypes.js;1;5.882;17;56.486;0.166;8.4;4173.354;496.828;39
mineral-ui;src/library/Tooltip/styled.js;1;7.692;13;71.906;0.175;10.365;5453.797;526.155;37
mineral-ui;src/library/Tooltip/themes.js;1;6.25;16;60.674;0.162;7.813;3791.473;485.309;42
mineral-ui;src/library/Tooltip/types.js;1;0;0;100;0.22;3.434;2263.381;659.117;57
mineral-ui;src/library/Tooltip/__tests__/Tooltip.spec.js;2;1.399;143;72.809;1.916;34.833;200266.54;5749.279;126
mineral-ui;src/library/Tooltip/__tests__/Tooltip.ssr.spec.js;1;33.333;3;86.666;0.024;3.75;271.274;72.34;14
mineral-ui;src/library/Tooltip/__tests__/Tooltip.theme.spec.js;1;33.333;3;95.714;0.051;3.571;546.162;152.925;19
pivotal-ui;src/react/tooltip/index.js;1;0;0;100;0.005;1.667;27.089;16.253;5
pivotal-ui;src/react/tooltip/tooltip.js;15;14.019;107;69.533;1.356;45.443;184852.17;4067.754;126
node_modules/es6-plato;lib/assets/scripts/vendor/bootstrap-tooltip.js;70;31.963;219;65.068;5.054;70.376;1066975.934;15161.02;229
dev-extreme;js/ui/tooltip.js;1;0;0;100;0.006;3;54.284;18.095;6
dev-extreme;js/ui/tooltip/tooltip.js;3;10;30;71.208;0.388;14.589;16993.441;1164.789;75
dev-extreme;js/ui/tooltip/ui.tooltip.js;3;12.5;24;75.929;0.266;18.371;14671.967;798.65;48
dev-extreme;js/ui/scheduler/tooltip_strategies/desktopTooltipStrategy.js;5;20;25;75.374;0.43;14.216;18328.997;1289.365;75
dev-extreme;js/ui/scheduler/tooltip_strategies/mobileTooltipStrategy.js;4;5.797;69;71.384;0.747;19.445;43551.219;2239.689;90
dev-extreme;js/ui/scheduler/tooltip_strategies/tooltipStrategyBase.js;17;18.478;92;78.555;1.911;33.672;193055.277;5733.468;158
frame;views/tooltip.js;1;4.167;24;69.212;0.292;10.5;9190.302;875.267;62
circuit-ui;src/components/Tooltip/Tooltip.js;5;12.821;39;67.965;0.69;21.141;43751.448;2069.505;95
circuit-ui;src/components/Tooltip/Tooltip.spec.js;1;5.556;18;80.733;0.23;9.273;6400.191;690.217;42
circuit-ui;src/components/Tooltip/Tooltip.stories.js;1;3.226;31;100;0.309;14.671;13601.937;927.104;48
circuit-ui;src/components/Tooltip/TooltipContainer.js;1;100;1;88.99;0.017;4.9;245.928;50.189;12
circuit-ui;src/components/Tooltip/index.js;1;0;0;100;0.006;3;54.284;18.095;6
jui-ui;src/components/tooltip.js;18;17.822;101;64.145;1.318;42;166113.075;3955.073;112
liftmodules-widgets;src/main/resources/toserve/common/jquery.tooltip.js;35;22.876;153;65.483;2.454;41.439;305131.881;7363.426;163
lucid;src/components/ToolTip/ToolTip.reducers.spec.js;1;7.692;13;81.759;0.117;9.737;3405.7;349.775;29
lucid;src/components/ToolTip/ToolTip.spec.jsx;2;1.786;112;80.49;1.782;23.94;128006.277;5346.962;140
lucid;src/components/BarChart/examples/08.unformatted-tooltips.jsx;1;8.333;12;100;0.124;9.36;3487.563;372.603;38
lucid;src/components/BarChart/examples/09.formatted-tooltip-values.jsx;1;8.333;12;60.05;0.125;9.75;3657.036;375.081;37
lucid;src/components/BarChart/examples/10.formatted-tooltips.jsx;1;8.333;12;100;0.134;10.92;4386.461;401.691;39
lucid;src/components/ToolTip/examples/2.variants.jsx;1;3.03;33;92.192;0.314;21.5;20227.234;940.802;39
lucid;src/components/ToolTip/examples/3.static.jsx;1;11.111;9;97.081;0.154;11.828;5455.267;461.233;43
ring-ui;components/tooltip/tooltip.examples.js;1;1.724;58;76.21;0.559;15.112;25363.786;1678.394;82
ring-ui;components/tooltip/tooltip.test.js;1;1.37;73;74.339;1.056;14.815;46952.533;3169.296;91
ring-ui;components/tooltip-ng/tooltip-ng.examples.js;1;10;10;83.769;0.141;10.667;4514.652;423.249;43
ring-ui;components/tooltip-ng/tooltip-ng.js;2;4.651;43;75.395;0.557;18.838;31473.779;1670.739;89
ring-ui;components/tooltip-ng/tooltip-ng.test.js;1;2.632;38;76.731;0.432;10.875;14082.055;1294.902;57
ring-ui;components/user-card/smart-user-card-tooltip.js;3;12.5;24;68.408;0.292;21.686;18973.558;874.934;57
ring-ui;components/user-card/tooltip.js;2;7.407;27;72.449;0.283;19.237;16348.62;849.86;55
rimble-ui;src/Tooltip/Tooltip.test.js;1;11.111;9;85.199;0.103;5.333;1640.91;307.671;28
rimble-ui;src/Tooltip/index.js;5;14.706;34;75.166;0.453;19.164;26060.702;1359.893;77
reactstrap-widgets;src/Tooltip.js;1;9.091;11;77.708;0.125;9.6;3600.774;375.081;37
reactstrap-widgets;src/TooltipPopoverWrapper.js;61;30.964;197;69.649;3.626;65.98;717674.198;10877.192;178
reactstrap-widgets;src/UncontrolledTooltip.js;2;18.182;11;80.833;0.192;16.56;9525.048;575.184;43
reactstrap-widgets;src/__tests__/Tooltip.spec.js;1;11.111;9;74.406;0.132;5.85;2318.97;396.405;39
reactstrap-widgets;src/__tests__/TooltipPopoverWrapper.spec.js;1;0.226;442;65.618;6.691;59.088;1186070.07;20072.863;184
wijmo;wijmo/jquery.wijmo.wijtooltip.js;174;23.419;743;56.601;11.6;104.077;3621812.18;34799.451;386
wijmo;wijmo/minified/jquery.wijmo.wijtooltip.min.js;174;24.302;716;57.01;11.367;116.564;3974944.224;34101.049;348
kendo-ui;src/kendo.tooltip.js;63;18.976;332;63.92;5.441;61.068;996737.464;16321.852;297
lobos-react-ui;src/Tooltip/FormItemPopover.js;10;16.393;61;43.125;0.449;22.041;29681.746;1346.672;67
lobos-react-ui;src/Tooltip/index.js;15;18.75;80;58.724;1.155;53.425;185042.032;3463.607;103
lobos-react-ui;src/Tooltip/popover.js;11;22;50;70.366;0.633;28.172;53494.803;1898.836;77
lobos-react-ui;src/Tooltip/tip.js;2;6.452;31;74.996;0.357;16.095;17214.687;1069.552;55
jquery-ui;ui/widgets/tooltip.js;60;23.438;256;65.467;4.326;49.023;636189.39;12977.314;217
jxlib;src/Source/jx/tooltip.js;9;12.676;71;63.528;1.33;30.426;121438.793;3991.345;116
